자치구코드,시군구명,총생활인구수
11110,종로구,2336297451.4887
11140,중구,2136769254.0718
11170,용산구,2440060777.5818
11200,성동구,2979330433.9897
11215,광진구,3104212341.7287
11230,동대문구,3007720259.7348
11260,중랑구,3078592637.0947
11290,성북구,3643143938.7739
11305,강북구,2577277363.7247
11320,도봉구,2408412362.5562
11350,노원구,4450781822.237
11380,은평구,3812187656.499
11410,서대문구,3097641181.2015
11440,마포구,3840847329.0512
11470,양천구,3365477076.5002
11500,강서구,4719217593.5762
11530,구로구,3350118808.9852
11545,금천구,1915444111.9162
11560,영등포구,4013719088.5624
11590,동작구,3306288689.3615
11620,관악구,4108477369.3201
11650,서초구,4867990374.4488
11680,강남구,6886596043.8206
11710,송파구,6439607996.3642
11740,강동구,4406850931.7162
