name,lat,lon
엔츠 노래타운,37.5400190,127.127635
월드컵노래주점,37.5264242,127.134750
보스노래밤,37.5498926,127.128817
금방석,37.5301790,127.136748
월드컵,37.5500277,127.128840
대경,37.5373941,127.138413
수담,37.5367448,127.138944
부킹노래짱,37.5398929,127.127601
모델노래타운,37.5362066,127.136827
씨티,37.5387365,127.130439
아쭈포차,37.5402073,127.128472
왕초,37.5357009,127.137867
하루,37.5362066,127.136827
발리,37.5290369,127.134891
키스,37.5378903,127.137871
찬스,37.5346918,127.137797
천지회관,37.5346918,127.137797
무지개,37.5359248,127.138976
이꼬이꼬,37.5391464,127.126321
플레이,37.5355764,127.136373
애플,37.5374938,127.137893
돌풍,37.5359342,127.138693
눈사람,37.5372057,127.137700
황제,37.5350705,127.137594
황제비지니스,37.5361681,127.138931
자유인 Free Man,37.5346822,127.138351
태평양,37.5359729,127.136385
어우동,37.5357905,127.138286
명월,37.5357457,127.138071
파랑새(노래),37.5391738,127.126015
명동노래주점,37.5358735,127.136600
엠비씨노래주점,37.5351530,127.136316
리꼴라노래광장주점,37.5359350,127.137980
신부마을,37.5350705,127.137594
허니 투 노래주점,37.5372041,127.139103
퍼즐,37.5355564,127.138149
뉴첼로,37.5356843,127.136588
에이스,37.5357009,127.137867
이미지,37.5359729,127.136385
사또,37.5390471,127.126479
에스(S)노래주점,37.5374938,127.137893
돌체노래주점,37.5349263,127.137571
벌떼,37.5358012,127.136792
요지경세상,37.5359350,127.137980
아미,37.5397609,127.124579
앵두노래주점,37.5375300,127.137746
하트,37.5358735,127.136600
궁전,37.5376561,127.137780
야화7080,37.5346918,127.137797
체스노래주점,37.5361325,127.138614
님과함께,37.5366015,127.138151
코리아,37.5371769,127.139227
K2 노래터,37.5393267,127.126276
보스,37.5365376,127.138864
로마,37.5360633,127.136125
아노래짱,37.5350705,127.137594
샤넬,37.5359350,127.137980
수,37.5358012,127.136792
제니아노래광장,37.5402526,127.128246
첼로,37.5356843,127.136588
항아리,37.5351330,127.138024
앤비시노래장주점,37.5351530,127.136316
꿀단지,37.5359350,127.137980
전국주점,37.5351330,127.138024
비바,37.5372242,127.137304
포텐노래타운,37.5385063,127.126727
박하사탕,37.5350705,127.137594
허니노래주점,37.5366015,127.138151
준코뮤직타운,37.5346918,127.137797
에쿠스,37.5374575,127.138119
물노래장,37.5346918,127.137797
준코뮤직타운 천호로데오점,37.5382456,127.126195
미주,37.5367819,127.137982
야화,37.5346918,127.137797
놀이터,37.5373773,127.137361
노라조,37.5373773,127.137361
드라마,37.5375300,127.137746
친구,37.5349263,127.137571
은성,37.5376927,127.137316
첼로Ⅱ,37.5356843,127.136588
신바람,37.5349263,127.137571
TEN프로 노래주점,37.5357009,127.137867
체르니,37.5357009,127.137867
비너스,37.5351330,127.138024
현 노래,37.5393714,127.126547
제이제이,37.5349263,127.137571
보고또보고,37.5351330,127.138024
뉴스타대경,37.5373941,127.138413
모모라이브,37.5346918,127.137797
신뻐꾸기,37.5350705,127.137594
파라다이스,37.5374575,127.138119
바나나,37.5350705,127.137594
쥬얼리노래타운,37.5385063,127.126727
홀릭,37.5352698,127.136588
뉴욕노래주점,37.5351330,127.138024
미인노래주점,37.5371769,127.139227
굿타임,37.5351330,127.138024
마을,37.5350705,127.137594
써니,37.5372242,127.137304
비행기,37.5372057,127.137700
블랙홀,37.5360633,127.136125
물놀이,37.5360633,127.136125
오샤레 노래빠,37.5401647,127.126141
그랜드piano,37.5372057,127.137700
피아노,37.5372057,127.137700
청춘포차,37.5394715,127.125608
대왕노래궁,37.5401647,127.126141
룰루,37.5372057,127.137700
신세계노래주점,37.5346918,127.137797
