주소,위도,경도
서울특별시 강동구 양재대로 1335,37.5312359,127.138644
서울특별시 강동구 양재대로98길 43,37.5311322,127.1390808
서울특별시 강동구 양재대로 1335,37.5312359,127.138644
서울특별시 강동구 동남로67길 30,37.5487787,127.1540974
서울특별시 강동구 동남로75길 13-25,37.553735,127.1557531
서울특별시 강동구 상암로 214,37.5480751,127.1300518
서울특별시 강동구 천중로15길 20,37.5462354,127.1283914
서울특별시 강동구 천호대로176길 33,37.5341395,127.135482
서울특별시 강동구 고덕로62길 27,37.5529581,127.1528256
서울특별시 강동구 구천면로 355,37.5502967,127.140397
서울특별시 강동구 명일로 212,37.55213,127.14981
서울특별시 강동구 양재대로 1383,37.5312359,127.138644
서울특별시 강동구 동남로81길 20,37.5596187,127.1530782
서울특별시 강동구 명일로 210,37.55213,127.14981
서울특별시 강동구 명일로 189,37.55213,127.14981
서울특별시 강동구 명일로 171,37.55213,127.14981
서울특별시 강동구 양재대로134길 51,37.5477244,127.1461604
서울특별시 강동구 풍성로 247,37.5318631,127.1274564
서울특별시 강동구 양재대로81길 39,37.523526,127.1317008
서울특별시 강동구 고덕로62길 48,37.5529581,127.1528256
서울특별시 강동구 구천면로 498-1,37.5502967,127.140397
서울특별시 강동구 동남로75길 13-15,37.553735,127.1557531
서울특별시 강동구 고덕로38길 47,37.5527288,127.1426658
서울특별시 강동구 천중로15가길 4,37.5465908,127.1290027
서울특별시 강동구 양재대로128길 42,37.5444639,127.145278
서울특별시 강동구 양재대로 1313,37.5312359,127.138644
서울특별시 강동구 천중로43길 34,37.5434199,127.1413807
서울특별시 강동구 동남로83길 73,37.5601515,127.1541444
서울특별시 강동구 상암로 210,37.5480751,127.1300518
서울특별시 강동구 동남로82길 91,37.5609074,127.1577464
서울특별시 강동구 명일로16길 3,37.5372266,127.1471018
서울특별시 강동구 구천면로 492,37.5502967,127.140397
서울특별시 강동구 구천면로 508,37.5502967,127.140397
서울특별시 강동구 고덕로27길 27,37.5571286,127.1379827
서울특별시 강동구 상암로 11,37.54750065,127.1586603
서울특별시 강동구 풍성로 160,37.5318631,127.1274564
서울특별시 강동구 동남로71길 32,37.55232055,127.1541935
서울특별시 강동구 명일로 375,37.55213,127.14981
서울특별시 강동구 올림픽로 818,37.5385448,127.1234736
서울특별시 강동구 명일로 212,37.55213,127.14981
서울특별시 강동구 양재대로85길 38,37.5248662,127.1322197
서울특별시 강동구 구천면로 496,37.5502967,127.140397
서울특별시 강동구 고덕로 133,37.5548007,127.1394501
서울특별시 강동구 동남로81길 64,37.5596187,127.1530782
서울특별시 강동구 풍성로 136,37.5318631,127.1274564
서울특별시 강동구 동남로71길 38,37.5517534,127.1543327
서울특별시 강동구 고덕로 254,37.5543004,127.1430187
서울특별시 강동구 천호대로193길 36,37.5364986,127.1439193
서울특별시 강동구 구천면로 428,37.5502967,127.140397
서울특별시 강동구 동남로81길 76,37.5596187,127.1530782
서울특별시 강동구 동남로71길 38,37.5517534,127.1543327
서울특별시 강동구 동남로71길 38,37.5517534,127.1543327
