,주소,lat,lon
0,서울특별시 동대문구 경희대로 20,37.59316105,127.0529403
1,서울특별시 동대문구 이문로 82,37.5889471,127.0552494
2,서울특별시 동대문구 천호대로 307,37.5706734,127.0475618
3,서울특별시 동대문구 고미술로 100,37.563476,127.0582719
4,서울특별시 동대문구 천호대로 329,37.5706734,127.0475618
5,서울특별시 동대문구 한천로11길 6,37.5671421,127.0588169
6,서울특별시 동대문구 홍릉로 58,37.58375,127.04406
7,서울특별시 동대문구 회기로 47,37.5904815,127.0543767
8,서울특별시 동대문구 회기로 57,37.5904815,127.0543767
9,서울특별시 동대문구 왕산로 61,37.5781267,127.0381456
10,서울특별시 동대문구 왕산로 25,37.5781267,127.0381456
11,서울특별시 동대문구 왕산로 21,37.5781267,127.0381456
12,서울특별시 동대문구 왕산로 19,37.5781267,127.0381456
13,서울특별시 동대문구 왕산로 15,37.5781267,127.0381456
14,서울특별시 동대문구 왕산로 4,37.5761351,127.0254698
15,서울특별시 동대문구 왕산로 117,37.5781267,127.0381456
16,서울특별시 동대문구 왕산로 127,37.5782755,127.0376264
17,서울특별시 동대문구 장한로 91,37.5782749,127.0721836
18,서울특별시 동대문구 한천로14길 87,37.5677804,127.0638442
19,서울특별시 동대문구 천호대로 151,37.5706734,127.0475618
20,서울특별시 동대문구 이문로 156,37.5889471,127.0552494
21,서울특별시 동대문구 이문로 199,37.5889471,127.0552494
22,서울특별시 동대문구 장한로 40,37.5782749,127.0721836
23,서울특별시 동대문구 청계천로 447,37.5726159,127.0369969
24,서울특별시 동대문구 난계로28길 23,37.5728123,127.0272435
25,서울특별시 동대문구 난계로 250,37.5730129,127.0233304
26,서울특별시 동대문구 난계로30길 27,37.5736167,127.0249413
27,서울특별시 동대문구 청계천로 439,37.5726159,127.0369969
28,서울특별시 동대문구 청계천로 447,37.5726159,127.0369969
29,서울특별시 동대문구 왕산로 4,37.5761351,127.0254698
30,서울특별시 동대문구 천호대로 26,37.5706734,127.0475618
31,서울특별시 동대문구 왕산로6,37.5793852,127.0432358
32,서울특별시 동대문구 답십리로 303,37.5769488,127.0456176
33,서울특별시 동대문구 이문로 197,37.5889471,127.0552494
34,서울특별시 동대문구 답십리로 294,37.5769488,127.0456176
35,서울특별시 동대문구 답십리로92길 68,37.5769488,127.0456176
36,서울특별시 동대문구 회기로 123,37.5904815,127.0543767
37,서울특별시 동대문구 사가정로 229,37.5699527,127.0488074
38,서울특별시 동대문구 한천로46길 2,37.5807921,127.072758
39,서울특별시 동대문구 답십리로 29,37.5769488,127.0456176
