"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총인원","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지"
"3240000","3240000-102-1972-05566","19721023","","03","폐업","02","폐업","20081201","","","","02 4860725","164.32","134871","서울특별시 강동구 천호동 550-4번지 .5.6 ","","","테크노노래주점","20090806164520","I","2018-08-31 23:59:59.0","스텐드바","211263.209311589    ","448686.909508157    ","스텐드바","0","0","유흥업소밀집지역","을","상수도전용","","","","","","","","","N","164.32","","",""
"3240000","3240000-102-1975-05529","19750628","","01","영업/정상","01","영업","","","","","02 4711534","175.80","134872","서울특별시 강동구 천호동 412-2번지 ","서울특별시 강동구 천호대로157길 51 (천호동)","05329","엔츠 노래타운","20171201162203","I","2018-08-31 23:59:59.0","룸살롱","211212.492261553    ","448649.550207031    ","룸살롱","","","","","","","","","","","","","","Y","175.8","","",""
"3240000","3240000-102-1976-05609","19760811","","03","폐업","02","폐업","19990323","","","","02","485.95","134874","서울특별시 강동구 천호동 425-5번지 ","","","강동월드컵","19990902000000","I","2018-08-31 23:59:59.0","카바레","210970.75707265     ","448713.31669728     ","카바레","21","22","유흥업소밀집지역","을","상수도전용","","","","","","","","","N","485.95","","",""
"3240000","3240000-102-1978-05541","19780922","","03","폐업","02","폐업","20210528","","","","02  474 9979","106.95","134871","서울특별시 강동구 천호동 557-2 ","서울특별시 강동구 진황도로 23-1 (천호동)","05334","비너스 주점","20210528144441","U","2021-05-30 02:40:00.0","룸살롱","211430.177266067    ","448563.205344312    ","룸살롱","0","0","유흥업소밀집지역","을","상수도전용","","","","","","","","","Y","106.95","","",""
"3240000","3240000-102-1979-05565","19790426","","03","폐업","02","폐업","19911213","","","","0204788835","313.50","134874","서울특별시 강동구 천호동 455-20번지 ","","","모나코룸크럽","20020605000000","I","2018-08-31 23:59:59.0","스텐드바","","","스텐드바","3","1","유흥업소밀집지역","을","상수도전용","","","","","","","","","N","313.5","","",""
"3240000","3240000-102-1980-05514","19800126","","03","폐업","02","폐업","19941206","","","","0201768800","118.60","134841","서울특별시 강동구 성내동 119-1번지 ","","","로얄","20020605000000","I","2018-08-31 23:59:59.0","룸살롱","","","룸살롱","1","1","유흥업소밀집지역","을","상수도전용","","","","","","","","","N","118.6","","",""
"3240000","3240000-102-1980-05519","19800905","","03","폐업","02","폐업","19920919","","","","0201768800","128.64","134867","서울특별시 강동구 천호동 288-1번지 ","","","홈런","20020605000000","I","2018-08-31 23:59:59.0","룸살롱","211313.932579998    ","449686.721186141    ","룸살롱","0","0","유흥업소밀집지역","을","상수도전용","","","","","","","","","N","128.64","","",""
"3240000","3240000-102-1980-05520","19800708","","01","영업/정상","01","영업","","","","","02 4776902","99.56","134890","서울특별시 강동구 성내동 429-10","서울특별시 강동구 양재대로89길 13 (성내동)","05405","월드컵노래주점","20221021095645","U","2021-10-30 22:03:00.0","룸살롱","211835.981249432","447143.431610694","","","","","","","","","","","","","","","","","","",""
"3240000","3240000-102-1980-05521","19800908","","03","폐업","02","폐업","20050708","","","","02 4811406","164.73","134874","서울특별시 강동구 천호동 432-11번지 ","","","대천","20050228000000","I","2018-08-31 23:59:59.0","룸살롱","210852.338764731    ","448718.284718108    ","룸살롱","2","1","유흥업소밀집지역","을","상수도전용","","","","","","","","","N","164.73","","",""
"3240000","3240000-102-1980-05525","19801114","","03","폐업","02","폐업","19980406","","","","0204768730","368.17","134814","서울특별시 강동구 길동 412-12번지 ","","","지구촌","20020605000000","I","2018-08-31 23:59:59.0","룸살롱","212215.378259229    ","448196.85466049     ","룸살롱","1","2","유흥업소밀집지역","을","상수도전용","","","","","","","","","N","368.17","","",""
"3240000","3240000-102-1980-05528","19800701","","01","영업/정상","01","영업","","","","","","95.76","134859","서울특별시 강동구 암사동 496-17","서울특별시 강동구 상암로11길 4 1층 (암사동)","05264","보스노래밤","20221215112130","U","2021-11-01 23:07:00.0","룸살롱","211315.841955253","449745.468868802","","","","","","","","","","","","","","","","","","",""
"3240000","3240000-102-1980-05530","19800512","","03","폐업","02","폐업","20161027","","","","0222150152","234.90","134020","서울특별시 강동구 천호동 406-13번지 14 ","서울특별시 강동구 구천면로 211 (천호동14)","05326","필","20090105093437","I","2018-08-31 23:59:59.0","스텐드바","211257.023272453    ","448718.236133386    ","스텐드바","","","","","","","","","","","","","","N","234.9","","",""
