"행정구역명","학원/교습소","학원지정번호","학원명","도로명주소","도로명상세주소","분야명","교습계열명","교습과정목록명","교습과정명","정원합계","일시수용능력인원합계","인당수강료내용","수강료공개여부","기숙사학원여부","도로명우편번호","등록상태명","등록일자","휴원시작일자","휴원종료일자","개설일자","적재일시"
"강동구","학원","1000021999","수도민속무용학원","서울특별시 강동구 양재대로 1371","/ 4층 403호 (성내동)","기예(대)","기예(중)","","무용(전통무용/현대무용)","20","40","","Y","N","05404","개원","19700312","","","19700312","20221225"
"강동구","학원","1000022066","샤론음악학원","서울특별시 강동구 상암로 12","/ 202호 (암사동)","예능(대)","예능(중)","음악/","음악","40","20","","Y","N","134877","개원","19790619","","","19790619","20221225"
"강동구","학원","1000022089","이레음악학원","서울특별시 강동구 구천면로 440","/ 2층 (명일동)","예능(대)","예능(중)","음악/","음악","30","80","","Y","N","05292","개원","19800918","","","19800918","20221225"
"강동구","학원","1000022102","혜성음악학원","서울특별시 강동구 천호대로187길 59","/ 3층 (길동)","예능(대)","예능(중)","음악/","음악","10","100","","Y","N","134880","개원","19800310","","","19800310","20221225"
"강동구","학원","1000022207","세종아트무용학원","서울특별시 강동구 양재대로 1329","/ 4층 (성내동)","예능(대)","예능(중)","","무용","70","80","","Y","","134846","개원","19820518","","","19820518","20221225"
"강동구","학원","1000022231","쇼팽음악학원","서울특별시 강동구 양재대로 1666","/ 3층1호 (명일동)","예능(대)","예능(중)","음악/","음악","80","20","","Y","N","05266","개원","19820504","","","19820514","20221225"
"강동구","학원","1000022243","우성경리학원","서울특별시 강동구 천호대로187길 79","(길동)","기타(대)","기타(중)","경리/","경리","20","160","","N","N","134880","개원","19980130","","","19980130","20221225"
"강동구","학원","1000022417","하늘연음악학원","서울특별시 강동구 명일로 263","/ 2층 (길동)","예능(대)","예능(중)","음악/","음악","140","10","","Y","N","05301","개원","19841212","","","19841212","20221225"
"강동구","학원","1000022578","명문음악학원","서울특별시 강동구 암사길 60","(암사동)","예능(대)","예능(중)","음악/","음악","30","17","","Y","N","134858","개원","19850311","","","19850311","20221225"
"강동구","학원","1000022697","삼익이화음악학원","서울특별시 강동구 명일로 293","/ 2층 (길동/ 삼익파크)","예능(대)","예능(중)","","음악","23","60","","Y","N","134010","개원","19840716","","","19850814","20221225"
"강동구","학원","1000022932","경희무용학원","서울특별시 강동구 고덕로27길 28","/ 상가 310/311/312/313/314호 (암사동/현대홈타운)","예능(대)","예능(중)","무용/","무용","114","60","","Y","","134764","개원","19860319","","","19860319","20221225"
"강동구","학원","1000022978","셀라피아노학원","서울특별시 강동구 상암로 210","/ 4층 (명일동)","예능(대)","예능(중)","","음악","30","204","","Y","","134830","개원","19890522","","","19890522","20221225"
"강동구","학원","1000023004","신수지음악학원","서울특별시 강동구 동남로81길 44","/ 2층 일부 (고덕동)","예능(대)","예능(중)","음악/","음악","120","30","","Y","N","134806","개원","19871017","","","19871017","20221225"
"강동구","학원","1000023109","이레실용음악학원","서울특별시 강동구 고덕로 95","/ 2층 (암사동)","예능(대)","예능(중)","","음악","20","30","","Y","N","134855","개원","19870310","","","19870310","20221225"
"강동구","학원","1000023135","대건정보처리학원","서울특별시 강동구 상암로 210","4층 (명일동)","기타(대)","기타(중)","","컴퓨터(소)","118","50","","","N","134830","개원","19870501","","","19870501","20221225"
"강동구","학원","1000023304","예종피아노음악학원","서울특별시 강동구 구천면로16길 33","/ 2층 일부 (천호동)","예능(대)","예능(중)","음악/","음악","60","23","","Y","N","05248","개원","19870317","","","19890607","20221225"
"강동구","학원","1000023553","해바라기음악학원","서울특별시 강동구 동남로82길 111","/ 2층 (고덕동)","예능(대)","예능(중)","음악/","음악","120","20","","Y","N","05220","개원","19880130","","","19880130","20221225"
"강동구","학원","1000023565","홍피아노음악학원","서울특별시 강동구 풍성로 107","/ 2층 (성내동)","예능(대)","예능(중)","음악/","음악","90","16","","Y","N","134842","개원","19880217","","","19880217","20221225"
"강동구","학원","1000023576","윤선생아이쥐에스이(IGSE)상일아카데미(ACADEMY)학원","서울특별시 강동구 구천면로 668","/ 3~4층 (상일동)","입시.검정 및 보습","보통교과","보습/","보습","156","80","","Y","N","05282","개원","19880314","","","19880314","20221225"
"강동구","학원","1000023593","쇼팽트리음악학원","서울특별시 강동구 아리수로93길 9","/ 4층 401호 (강일동)","예능(대)","예능(중)","음악/","음악","480","30","","Y","N","05211","개원","19880329","","","19880329","20221225"
"강동구","학원","1000023704","연세실용음악학원","서울특별시 강동구 동남로81길 20","/ 3층 일부 (고덕동/ 정광빌딩)","기예(대)","기예(중)","실용음악(성악)/","실용음악(성악)","40","30","","","N","05226","개원","19880908","","","19880908","20221225"
"강동구","학원","1000023747","2호선보습학원","서울특별시 강동구 양재대로 1335","/ 4층 402호 (성내동)","입시.검정 및 보습","보통교과","보습/","보습","54","59","","Y","N","05405","개원","19881123","","","19881123","20221225"
"강동구","학원","1000023813","햇님속셈학원","서울특별시 강동구 풍성로35길 41","(성내동)","기타(대)","기타(중)","속셈/","속셈","25","120","","Y","","134841","개원","19880201","","","19880201","20221225"
"강동구","학원","1000024226","새교육보습학원","서울특별시 강동구 올림픽로100길 30","/  2층일부/3층 (암사동)","입시.검정 및 보습","보통교과","보습/","보습","30","130","","Y","","134859","개원","19890627","","","19890627","20221225"
"강동구","학원","1000024262","청담속셈학원","서울특별시 강동구 동남로67길 45","/ 2층 (명일동)","기타(대)","기타(중)","속셈/","속셈","10","40","","N","N","134827","개원","19890310","","","19890310","20221225"
"강동구","학원","1000024339","시온음악학원","서울특별시 강동구 천중로35길 27","(천호동)","예능(대)","예능(중)","","음악","65","27","","Y","N","134864","개원","19890315","","","19890315","20221225"
"강동구","학원","1000024473","금오음악학원","서울특별시 강동구 동남로81길 72","/ 2층 (고덕동)","예능(대)","예능(중)","음악/","음악","27","9","","Y","N","134806","개원","19890602","","","19890602","20221225"
"강동구","학원","1000024732","신일보습학원","서울특별시 강동구 양재대로98길 43","(둔촌동)","입시.검정 및 보습","보통교과","보습/","보습","24","38","","Y","N","134822","개원","19890906","","","19890906","20221225"
"강동구","학원","1000024792","SN과학보습학원","서울특별시 강동구 양재대로 1335","/ (4층일부) (성내동)","입시.검정 및 보습","보통교과","보습/","보습","20","70","","Y","","134890","개원","19891019","","","19891019","20221225"
"강동구","학원","1000024937","강동최상위수학원","서울특별시 강동구 구천면로 427","/ 4층 (명일동)","입시.검정 및 보습","보통교과","보습/","보습","60","120","","Y","N","134830","개원","19891226","","","19891226","20221225"
"강동구","학원","1000025030","빈음악학원","서울특별시 강동구 명일로10나길 28","/ 2층 (둔촌동)","예능(대)","예능(중)","음악/","음악","84","54","","Y","N","05367","개원","19900207","","","19900207","20221225"
"강동구","학원","1000025129","TTE미술학원","서울특별시 강동구 양재대로136길 24","/ 3층 (명일동/ 한양빌딩)","예능(대)","예능(중)","미술/","미술","10","60","","","N","134830","개원","19900404","","","19900404","20221225"
"강동구","학원","1000025156","하나미술학원","서울특별시 강동구 양재대로 1626","/ 고덕빌딩504호 (명일동)","예능(대)","예능(중)","미술/","미술","44","90","","Y","N","134830","개원","19900507","","","19900507","20221225"
"강동구","학원","1000025198","수음악학원","서울특별시 강동구 구천면로 278","/  동아하이빌상가201호 (천호동)","예능(대)","예능(중)","음악/","음악","50","54","","Y","N","134775","개원","19900802","","","19900802","20221225"
"강동구","학원","1000025226","비발디음악학원","서울특별시 강동구 고덕로20길 15","/ 2층 (암사동)","예능(대)","예능(중)","음악/","음악","20","108","","Y","N","134858","개원","19900824","","","19900824","20221225"
"강동구","학원","1000025278","미래보습학원","서울특별시 강동구 동남로67길 30","/ 2층 (명일동)","입시.검정 및 보습","보통교과","","보습","16","45","","Y","","134826","개원","19901124","","","19901124","20221225"
"강동구","학원","1000025773","라라음악학원","서울특별시 강동구 동남로81길 66","/ 2층 (고덕동)","예능(대)","예능(중)","","음악","280","54","","Y","N","134806","개원","19910131","","","19910131","20221225"
"강동구","학원","1000025865","한양음악전문학원","서울특별시 강동구 구천면로47가길 14","/ 2층 (암사동)","예능(대)","예능(중)","음악/","음악","15","20","","Y","N","134856","개원","19910409","","","19910409","20221225"
"강동구","학원","1000026011","SSEN쎈영어보습학원","서울특별시 강동구 동남로75길 13-25","/ 5층 (명일동)","입시.검정 및 보습","보통교과","보습/","보습","90","90","","Y","N","134825","개원","19951114","","","19951114","20221225"
"강동구","학원","1000026701","예인음악학원","서울특별시 강동구 구천면로42길 28","/ 2층 (천호동)","예능(대)","예능(중)","음악/","음악","30","11","","Y","N","05310","개원","19920701","","","19920701","20221225"
"강동구","학원","1000026711","천호연세속셈학원","서울특별시 강동구 구천면로62길 24","(천호동)","기타(대)","기타(중)","속셈/","속셈","10","244","","Y","N","134861","개원","19920710","","","19920710","20221225"
"강동구","학원","1000027082","보슬미술학원","서울특별시 강동구 올림픽로112길 92","(암사동)","예능(대)","예능(중)","미술/","미술","60","60","","Y","N","134876","개원","19920301","","","19920301","20221225"
"강동구","학원","1000027122","한빛독서실","서울특별시 강동구 고덕로 81","/ 5층/6층일부 (암사동)","독서실","독서실","독서실(유아/초?중?고)/","독서실(유아/초?중?고)","106","100","","Y","N","134855","개원","19921021","","","19921021","20221225"
"강동구","학원","1000027323","둔촌스터디뱅크독서실","서울특별시 강동구 명일로 165","/ 3층 (둔촌동)","독서실","독서실","독서실(유아/초?중?고)/","독서실(유아/초?중?고)","735","147","","Y","N","134817","개원","19931118","","","19931118","20221225"
"강동구","학원","1000027397","영란음악학원","서울특별시 강동구 명일로16길 25","/ 2층 (길동)","예능(대)","예능(중)","음악/","음악","50","18","","Y","N","134809","개원","19940105","","","19940105","20221225"
"강동구","학원","1000027472","천년의미소미술학원","서울특별시 강동구 양재대로 1478","/ 5층 (길동)","예능(대)","예능(중)","미술/","미술","615","61","","Y","","134880","개원","19940322","","","19940322","20221225"
