"금연구역명","금연구역범위상세","시도명","시군구명","금연구역구분","금연구역지정근거명","금연구역면적","위반과태료","위반신고전화번호","소재지도로명주소","소재지지번주소","관리기관명","위도","경도","데이터기준일자","제공기관코드","작업일시"
"창덕","창덕","서울특별시","종로구","도시공원                                                                                                ","서울특별시 종로구","6.75","100000","02-2148-3541","서울특별시 종로구 와룡동 2-71","","서울특별시 종로구청","37.57390428","126.9789853","2022-07-05","","2022-12-17 11:37:14.0"
"달바위","달바위","서울특별시","종로구","도시공원                                                                                                ","서울특별시 종로구","3.3178","100000","02-2148-3541","서울특별시 종로구 송월동 145-2","","서울특별시 종로구청","37.57390428","126.9789853","2022-07-05","","2022-12-17 11:37:14.0"
"솔빛","솔빛","서울특별시","종로구","도시공원                                                                                                ","서울특별시 종로구","1.7933","100000","02-2148-3541","서울특별시 종로구 송월동 145-3","","서울특별시 종로구청","37.57390428","126.9789853","2022-07-05","","2022-12-17 11:37:14.0"
"삼미상사㈜ 장안킹셀프주유소","부지전체","서울특별시","동대문구","주유소                                                                                                 ","서울특별시 동대문구 간접흡연 피해방지 조례","","100000","02-2127-4632","서울특별시 동대문구 한천로 100(장안동)","서울특별시 동대문구 장안동 164-2","서울특별시 동대문구청","37.57015455","127.0649833","2022-02-25","","2022-12-17 11:37:14.0"
"㈜재건에너지 재정제2주유소","부지전체","서울특별시","동대문구","주유소                                                                                                 ","서울특별시 동대문구 간접흡연 피해방지 조례","","100000","02-2127-4632","서울특별시 동대문구 사가정로 90(전농동)","서울특별시 동대문구 전농동 295-12","서울특별시 동대문구청","37.5759083","127.0556357","2022-02-25","","2022-12-17 11:37:14.0"
"열린주유소","부지전체","서울특별시","동대문구","주유소                                                                                                 ","서울특별시 동대문구 간접흡연 피해방지 조례","","100000","02-2127-4632","서울특별시 동대문구 한천로 263(휘경동)","서울특별시 동대문구 휘경동 43-79","서울특별시 동대문구청","37.5843348","127.0676839","2022-02-25","","2022-12-17 11:37:14.0"
"삼영주유소","부지전체","서울특별시","동대문구","주유소                                                                                                 ","서울특별시 동대문구 간접흡연 피해방지 조례","","100000","02-2127-4632","서울특별시 동대문구 답십리로 258(장안동)","서울특별시 동대문구 장안동 387-1","서울특별시 동대문구청","37.5722468","127.068811","2022-02-25","","2022-12-17 11:37:14.0"
"현대오일뱅크㈜직영 스피드주유소","부지전체","서울특별시","동대문구","주유소                                                                                                 ","서울특별시 동대문구 간접흡연 피해방지 조례","","100000","02-2127-4632","서울특별시 동대문구 천호대로 453(장안동)","서울특별시 동대문구 장안동 466-8","서울특별시 동대문구청","37.56122694","127.0694389","2022-02-25","","2022-12-17 11:37:14.0"
"종묘광장","종묘광장","서울특별시","종로구","도시공원                                                                                                ","서울특별시 종로구","42.045","100000","02-2148-3541","서울특별시 종로구 훈정동 2","","서울특별시 종로구청","37.57390428","126.9789853","2022-07-05","","2022-12-17 11:37:14.0"
"교보~KT D타워~KT사잇길","교보~KT D타워~KT사잇길","서울특별시","종로구","거리                                                                                                  ","서울특별시 종로구 금연환경조성 및 간접흡연 피해방지 조례","","100000","02-2148-3541","서울특별시 종로구 종로1길 42","","서울특별시 종로구청","37.57390428","126.9789853","2022-07-05","","2022-12-17 11:37:14.0"
"중학천 보행로","중학천 보행로","서울특별시","종로구","거리                                                                                                  ","서울특별시 종로구 금연환경조성 및 간접흡연 피해방지 조례","219.87","100000","02-2148-3541","서울특별시 종로구 종로3길 17","","서울특별시 종로구청","37.570922","126.9789137","2022-07-05","","2022-12-17 11:37:14.0"
"효제초등학교 주변 보행로","효제초등학교 주변 보행로","서울특별시","종로구","거리                                                                                                  ","서울특별시 종로구 금연환경조성 및 간접흡연 피해방지 조례","","100000","02-2148-3541","서울특별시 종로구 김상옥로 42-1","","서울특별시 종로구청","37.57316011","127.0024315","2022-07-05","","2022-12-17 11:37:14.0"
"바름이어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 서초대로45길 20(서초동)","서울특별시 서초구 서초동 1706-4","서초구보건소 건강정책과","37.49414561","127.008965","2022-07-27","","2022-12-17 11:37:14.0"
"반포1동어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 신반포로 318(반포동)","서울특별시 서초구 반포동 703-1","서초구보건소 건강정책과","37.51000049","127.0184813","2022-07-27","","2022-12-17 11:37:14.0"
"반포복지관어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 사평대로55길 90(반포동)","서울특별시 서초구 반포동 724-12","서초구보건소 건강정책과","37.5078779","127.0212379","2022-07-27","","2022-12-17 11:37:14.0"
"반포어린이집","건축물 경계선 반경 10m이내의 도로법에 의한 보도 및 차도","서울특별시","서초구","어린이집                                                                                                ","서초구 간접흡연피해방지 조례 제5조(서초구 고시 제2012-91호)","10","100000","02-2155-8176","서울특별시 서초구 사평대로20길 54(반포동)","서울특별시 서초구 반포동 107-87","서초구보건소 건강정책과","37.49702913","126.9967386","2022-07-27","","2022-12-17 11:37:14.0"
