연번,시도,자치구명,도로명 주소(동명),시설명,시설종류,지정연도
1,서울특별시,종로구,우정국로 51-4(수송동),선재,어린이집,2019
2,서울특별시,종로구,숭인동길 47(숭인동),도담도담,어린이집,2019
3,서울특별시,중구,퇴계로 447(황학동),미담,어린이집,2019
4,서울특별시,중구,동호로14길 11-8(신당동),햇살,어린이집,2020
5,서울특별시,중구,만리재로35길 12(만리동1가),중림,어린이집,2018
6,서울특별시,용산구,한남대로40길 76(한남동),구립맑은숲,어린이집,2018
7,서울특별시,성동구,살곶이길 208(사근동),한양,초등학교,2020
8,서울특별시,광진구,아차산로44가길 5(자양동),자양도담,어린이집,2018
9,서울특별시,광진구,자양로23길 79(구의동),아이터,어린이집,2019
10,서울특별시,광진구,자양로35길 13(구의동),한국켄트,외국인학교,2018
11,서울특별시,광진구,광장로 1(광장동),재한몽골학교,외국인학교,2020
12,서울특별시,광진구,강변역로 18(구의동),광진학교(구남초교 중복),특수학교,2020
13,서울특별시,광진구,천호대로120길 32(능동),능동꿈맞이어린이집,어린이집,2020
14,서울특별시,동대문구,한천로26길 23(장안동),새서울,어린이집,2018
15,서울특별시,동대문구,고산자로28길13(용두동),구청(직장),어린이집,2018
16,서울특별시,동대문구,난계로30길 31(신설동),청정원,어린이집,2019
17,서울특별시,동대문구,장한로26다길 77(장안동),솔향기,어린이집,2019
18,서울특별시,동대문구,장한로27나길 65(장안동),연세,어린이집,2019
19,서울특별시,동대문구,왕산로 312(휘경동),새하늘,어린이집,2019
20,서울특별시,동대문구,약령시로3길 38(제기동),언덕위에하얀,어린이집,2020
21,서울특별시,동대문구,답십리로60길 40(답십리2동),대림늘푸른,어린이집,2020
22,서울특별시,동대문구,장안벚꽃로 107(장안동),장안현대,어린이집,2020
23,서울특별시,성북구,오패산로 98-12(하월곡동),소리,어린이집,2018
24,서울특별시,성북구,안암로 145(안암동5가),고려대학교,어린이집,2019
25,서울특별시,성북구,길음로 92(길음동),길음빛,어린이집,2020
26,서울특별시,성북구,장월로6길 28(장위2동),장위,어린이집,2020
27,서울특별시,성북구,돌곶이로 52-9(석관동),하은,어린이집,2020
28,서울특별시,도봉구,마들로 672-26(도봉동),다울,어린이집,2019
29,서울특별시,도봉구,도봉로106길 36(창2동),새샘,어린이집,2019
30,서울특별시,노원구,한글비석로 232(중계동),중계미래탐구초등연재센터학원,학원,2020
31,서울특별시,노원구,한글비석로 272(중계동),중계덕스어학원,학원,2020
