name,lat,lon
아마렐로,37.5298531,127.121531
해안반점,37.5526760,127.129444
천호등심,37.5386691,127.126150
소문난집,37.5391550,127.126728
부어치킨,37.5313705,127.126647
행화루,37.5523406,127.131345
해남식당,37.5388493,127.126162
고향집홍어,37.5371311,127.123568
사나포차,37.5307181,127.121476
60년 전통 신촌 황소곱창,37.5382370,127.125731
남원골추어탕,37.5254065,127.134364
종로빈대떡,37.5372364,127.126284
탐앤탐스(천호로데오점),37.5383351,127.126727
대성원,37.5467128,127.128155
한성관,37.5513002,127.142818
화려한곱창,37.5370559,127.126487
1990 아구찜 천호점,37.5387412,127.126150
초롱이고모부대찌개,37.5498926,127.128817
용천각,37.5405751,127.145593
큰손밥집,37.5536312,127.129310
30년전통설렁탕,37.5462738,127.125835
해물촌,37.5373773,127.137361
친구야,37.5331171,127.136074
60계치킨 천호역점,37.5385880,127.126139
강셰프 경양식,37.5303256,127.142405
신라삼계탕,37.5293657,127.122424
성내식당,37.5228844,127.133703
파파존스피자 강동구청점,37.5267094,127.129388
천호용궁알탕,37.5350303,127.124956
진미분식,37.5498181,127.146561
육쌈냉면 천호점,37.5382370,127.125731
전주식당,37.5402526,127.128246
고래삼계탕전문,37.5256226,127.134432
부산아지매국밥&구포갈비 명일역점,37.5516236,127.143622
마네키,37.5342701,127.143985
멧돌순두부 보쌈,37.5285088,127.123316
주문진 명가,37.5309433,127.121567
스카이마늘치킨,37.5518410,127.142706
투다리길2점,37.5383456,127.141413
중국관,37.5372041,127.139103
간지떡볶이,37.5252260,127.134567
해전해물탕,37.5296094,127.121938
꿀꿀 진순대국,37.5340113,127.134040
오늘와인한잔,37.5517950,127.143487
국내산 생삼겹살 전문점,37.5402073,127.128472
명불허전 원조골뱅이,37.5520020,127.143668
(고가네)THE 떡볶이,37.5397128,127.127532
장수족발,37.5400270,127.128608
엔메르(enmer),37.5505863,127.144639
차이젠(해물왕짬뽕),37.5305182,127.123116
원조성내볼데기집,37.5230474,127.133025
마포숯불갈비,37.5259824,127.134987
송림식당,37.5233894,127.133297
은전식당,37.5374838,127.146322
신의주찹쌀순대,37.5391464,127.126321
마을식당,37.5351330,127.138024
뼈찜&감자탕,37.5373481,127.139205
명일참숯불갈비,37.5514074,127.143599
담소 소사골 순대 육개장 길동역점,37.5371769,127.139227
중동파전,37.5372242,127.137304
철원족발,37.5437069,127.124903
쭈꾸쭈꾸 쭈꾸미,37.5370021,127.126272
춘천막국수,37.5516696,127.142853
쌍문동맥주다방,37.5283195,127.123395
별밤,37.5343659,127.139109
별미손칼국수,37.5509934,127.143247
동은장,37.5606904,127.162473
양자강,37.5468557,127.144994
강남랭겹,37.5358012,127.136792
이화순대국,37.5254065,127.134364
명품기사식당,37.5412849,127.139653
일층,37.5260010,127.134501
친구네,37.5419496,127.125273
비어킹,37.5358735,127.136600
팔선생,37.5286607,127.124572
처갓집양념치킨 암사점,37.5503062,127.137678
쭉삼이,37.5370563,127.126159
태양옥김빠,37.5287957,127.124731
맛닭꼬 암사점,37.5493610,127.128793
