사업장명,좌표정보(X),좌표정보(Y)
엔츠 노래타운,211212.4923,448649.5502
월드컵노래주점,211835.9812,447143.4316
별 노래밤,211315.842,449745.4689
금방석,212019.4455,447558.9302
월드컵,211317.1922,449761.09
대경,212172.8829,448356.9303
수담,212212.6926,448288.0154
부킹노래짱,211209.8968,448636.019
모델노래타운,212025.7137,448227.3781
씨티,211460.0166,448507.1385
아쭈포차,211286.8674,448670.4459
왕초,212117.2069,448171.4004
하루,212025.7137,448227.3781
발리,211855.0418,447431.5868
키스,212125.011,448412.6837
찬스,212111.3368,448059.842
천지회관,212111.3368,448059.842
무지개,212215.3783,448196.8547
이꼬이꼬,211096.1286,448552.6538
플레이,211985.558,448157.1963
애플,212119.7392,448370.1223
돌풍,212190.0312,448197.4968
눈사람,212102.5418,448338.9981
황제,212105.9823,448110.885
황제비지니스,212211.0121,448223.7193
자유인 Free Man,212167.3054,448056.9768
태평양,211986.9149,448201.8416
어우동,212154.7244,448181.2342
명월,212135.8335,448176.3232
파랑새(노래),211069.4457,448556.0508
명동노래주점,212005.3366,448190.8987
엠비씨노래주점,211980.2483,448111.0603
리꼴라노래광장주점,212127.7723,448197.1718
신부마을,212102.5209,448099.2287
허니 투 노래주점,212226.1052,448338.7256
퍼즐,212142.2298,448155.7129
뉴첼로,212011.0678,448166.5525
에이스,212117.2069,448171.4004
이미지,211986.9149,448201.8416
사또,211110.487,448541.1625
에스(S)노래주점,212119.7392,448370.1223
파티,211963.7874,448212.0129
돌체노래주점,212091.8416,448085.318
카카오톡,212067.7983,448341.0615
벌떼,212022.1981,448182.3267
요지경세상,212127.7723,448197.1718
유유,210942.7611,448620.9056
앵두노래주점,212106.8929,448374.1263
하트,212005.3366,448190.8987
궁전,212117.1222,448386.0749
야화7080,212111.3368,448059.842
체스노래주점,212253.1527,448526.0201
님과함께,212142.5529,448271.1192
코리아,212237.1938,448335.1919
K2 노래터,211092.7291,448572.3152
보스,212205.7874,448264.6401
로마,211963.7874,448212.0129
아노래짱,212102.5209,448099.2287
샤넬,212127.7723,448197.1718
수,212022.1981,448182.3267
제니아노래광장,211266.4787,448675.5203
첼로,212011.0678,448166.5525
항아리,212131.7563,448108.63
앤비시노래장주점,211980.2483,448111.0603
꿀단지,212127.7723,448197.1718
전국주점,212151.8575,448099.9055
비바,212067.7983,448341.0615
포텐노래타운,211132.5723,448481.2778
박하사탕,212105.9823,448110.885
허니노래주점,212142.5529,448271.1192
준코뮤직타운,212111.3368,448059.842
에쿠스,212139.6819,448366.8107
물노래장,212111.3368,448059.842
준코뮤직타운 천호로데오점,211096.9525,448450.5758
미주,212127.7434,448291.8185
야화,212111.3368,448059.842
놀이터,212072.3891,448357.6753
노라조,212072.3891,448357.6753
드라마,212106.8929,448374.1263
친구,212091.8416,448085.318
뉴히딩크,212067.7983,448341.0615
은성,212068.5306,448392.3934
첼로Ⅱ,212011.0678,448166.5525
신바람,212091.8416,448085.318
TEN프로 노래주점,212117.2069,448171.4004
체르니,212117.2069,448171.4004
비너스,212131.7563,448108.63
현 노래,211116.1098,448577.9573
제이제이,212091.8416,448085.318
보고또보고,212131.7563,448108.63
뉴스타대경,212172.8829,448356.9303
모모라이브,212111.3368,448059.842
신뻐꾸기,212102.5209,448099.2287
파라다이스,212139.6819,448366.8107
바나나,212102.5209,448099.2287
쥬얼리노래타운,211132.5723,448481.2778
홀릭,212004.6141,448123.8925
노래자랑,212131.7563,448108.63
미인노래주점,212237.1938,448335.1919
비바,212067.7983,448341.0615
굿타임,212131.7563,448108.63
마을,212102.5209,448099.2287
써니,212067.7983,448341.0615
비행기,212102.5418,448338.9981
블랙홀,211963.7874,448212.0129
물놀이,211963.7874,448212.0129
오샤레 노래빠,211080.9247,448665.2026
그랜드piano,212102.5418,448338.9981
피아노,212102.5418,448338.9981
끼,212041.9244,448167.0597
대월,212041.9244,448167.0597
청춘포차,211033.5003,448588.8931
대왕노래궁,211080.9247,448665.2026
룰루,212102.5418,448338.9981
신세계노래주점,212111.3368,448059.842
