사업장명,좌표정보(X),좌표정보(Y)
아마렐로,210674.2707,447520.8646
해안반점,211370.298,450054.6143
천호등심,211081.0395,448499.1595
소문난집,211132.0543,448553.3593
부어치킨,211115.4999,447695.1443
행화루,211538.7463,450017.9244
해남식당,211082.2088,448519.1711
고향집홍어,210853.3024,448329.0272
사나포차,210669.7225,447616.7784
60년 전통 신촌 황소곱창,211044.2584,448451.1782
남원골추어탕,211802.441,447030.3693
종로빈대떡,211093.5817,448340.5023
탐앤탐스(천호로데오점),211131.9787,448462.608
대성원,211257.8171,449392.2153
한성관,212552.239,449903.1151
화려한곱창,211111.843,448320.793
1990 아구찜 천호점,211081.6618,448507.3703
초롱이고모부대찌개,211315.842,449745.4689
용천각,212798.9987,448713.9888
큰손밥집,211358.772,450160.7728
30년전통설렁탕,211052.6385,449343.312
해물촌,212072.3891,448357.6753
친구야,211959.9017,447884.2355
60계치킨 천호역점,211080.4127,448490.4099
강셰프 경양식,212519.3528,447575.1212
신라삼계탕,210753.0376,447466.6911
성내식당,211751.3577,446748.4933
파파존스피자 강동구청점,211376.7858,447168.6762
천호용궁알탕,210976.7623,448095.5596
진미분식,212883.772,449739.2376
육쌈냉면 천호점,211044.2584,448451.1782
전주식당,211266.4787,448675.5203
고래삼계탕전문,211815.378,447052.6138
부산아지매국밥&구포갈비 명일역점,212623.8034,449939.6597
마네키,212658.4401,448013.8137
멧돌순두부 보쌈,210832.4182,447371.6108
주문진 명가,210677.3721,447641.132
스카이마늘치킨,212542.3702,449963.6654
투다리길2점,212430.3701,448465.1377
중국관,212226.1052,448338.7256
간지떡볶이,211827.0354,447008.5243
해전해물탕,210710.2021,447493.4408
(주)이연에프엔씨지점 한촌,211841.0167,448062.0466
꿀꿀 진순대국,211779.5292,447984.0492
오늘와인한잔,212611.2071,449958.9924
국내산 생삼겹살 전문점,211286.8674,448670.4459
명불허전 원조골뱅이,212627.3174,449981.6757
(고가네)THE 떡볶이,211203.2999,448615.6943
장수족발,211298.4382,448650.4373
엔메르(enmer),212713.7356,449824.3796
차이젠(해물왕짬뽕),210814.519,447594.2884
원조성내볼데기집,211691.1693,446766.6314
마포숯불갈비,211863.9961,447092.251
송림식당,211708.6839,446806.0757
은전식당,212864.4592,448370.7275
신의주찹쌀순대,211096.1286,448552.6538
마을식당,212104.4755,448133.1857
뼈찜&감자탕,212251.6035,448345.7274
명일참숯불갈비,212621.8295,449915.8742
디오니스,212237.1938,448335.1919
중동파전,212067.7983,448341.0615
철원족발,210970.3671,449058.5548
쭈꾸쭈꾸 쭈꾸미,211091.9485,448314.8136
춘천막국수,212555.5179,449944.9515
쌍문동맥주다방,210839.0805,447350.8772
별밤,212242.9935,448022.2793
별미손칼국수,212589.5778,449879.3183
동은장,214287.9624,450948.573
양자강,212745.553,449410.3176
강남랭겹,212022.1981,448182.3267
이화순대국,211802.441,447030.3693
명품기사식당,212274.6976,448791.2574
일층,211821.5168,447094.1278
친구네,211003.2342,448863.4312
비어킹,212005.3366,448190.8987
팔선생,210951.3286,447383.9984
처갓집양념치킨 암사점,212098.4016,449792.5621
쭉삼이,211090.8825,448326.5857
태양옥김빠,210957.1491,447403.3734
맛닭꼬 암사점,211313.9326,449686.7212
유미마라탕 명일점,212627.3174,449981.6757
먹을만한탕,212502.0584,447693.2204
임금님순대국,212502.0584,447693.2204
인디안바베큐,211802.441,447030.3693
오박사네돈까스전문점,211854.1069,447051.5986
동래복집,212119.7392,448370.1223
비사벌 전주콩나물국밥,210708.4416,447525.3919
봉평 옹심이 메밀칼국수,210995.185,448585.0372
한마음식당,211067.8499,448212.9341
곱창팩토리 천호본점,211257.095,448613.5924
당진 아구동태찜탕,212455.1305,448730.6792
청솔식당,211286.7604,447339.8799
행운소주방,211383.2257,448923.3604
아리랑치킨,214962.2156,451063.3008
팔자좀피자,213439.0232,450784.7763
돈이야,212682.8577,449760.5774
둘둘치킨명일역점,212625.1132,449957.8821
지리산 왕재봉 흑돼지,211095.89,449802.1477
본강,212798.9987,448713.9888
자린고비,211905.5953,447454.7479
대풍,210680.0703,447439.0244
고희,213683.1225,449529.1844
이화식당,211311.1001,450356.3157
즉떡이네,211082.0039,448320.9929
별난 돈돈,212858.1616,449832.5612
이번지깡통집 강동구청점,210703.6558,447425.8812
홍성원조화로구이,215180.7409,449845.7521
송강설렁탕,212650.3426,449334.7526
소문난쭈꾸미,211110.8155,448311.2938
까멜리아,211756.3616,449290.4163
엄박사흑돼지 왕갈비,212005.3366,448190.8987
신청사초롱,211252.295,448651.4214
역전할머니맥주 명일점,212584.1519,449961.1183
토크쇼,212135.8335,448176.3232
길조,212448.0796,448003.5012
펀비어킹,212497.0758,449355.4
린칭,214687.9253,450626.9497
이차돌 암사점,211310.4472,450249.7501
닭한마리빈대떡,211267.3936,448639.2703
여수집,213751.323,451048.7979
다호식당,212557.7717,448197.9126
역전할머니맥주 상일점,215200.3379,449704.4616
토노토 커피와인,211748.3132,446827.9616
