시설명,x좌표,y좌표
유정유치원,127.1337598,37.525911
한국구화학교,127.158909,37.5582554
암사무지개어린이집,127.1305028,37.5536692
강동아이슐레어린이집,127.137505,37.55322569
동심어린이집,127.1373773,37.5561083
명일초등학교,127.1425695,37.55454236
고명초등학교,127.14682,37.5530322
은새유치원,127.1526193,37.55236741
상일어린이집,127.1656874,37.5562973
성보나유치원,127.1694389,37.5603217
강솔초등학교,127.1802689,37.56186818
천호유치원,127.1308643,37.5416383
천일초등학교,127.1333855,37.5441771
천호초등학교,127.1364529,37.5473577
고덕유치원,127.1692477,37.55111218
둘리유치원,127.1721839,37.5507799
오송유치원,127.131908,37.5458079
고일초등학교,127.1690875,37.5520025
색동유치원,127.168472,37.5529037
푸른숲어린이집,127.1535042,37.5488256
묘곡초등학교,127.1531803,37.5584546
세정어린이집,127.1557401,37.5605922
강덕초등학교,127.1607706,37.5589001
명덕유치원,127.1531555,37.5598384
둔촌어린이집,127.1430056,37.5305225
위례초등학교,127.1393877,37.5223146
한성유치원,127.1468757,37.5411928
명원초등학교,127.1507304,37.5512241
신명초등학교,127.149989,37.5409577
예슬유치원,127.1256829,37.552482
대명초등학교,127.1528696,37.5476037
주몽학교,127.163933,37.5462769
예꿈어린이집,127.1329509,37.5478997
강동초등학교,127.1304605,37.5461063
암사어린이집,127.1249616,37.5505729
자연어린이집,127.124518,37.5465048
녹원유치원,127.1535579,37.548479
강명초등학교,127.1733219,37.5548237
강동유정유치원,127.1749825,37.5505854
성일초등학교,127.1283448,37.5291763
성내참사랑어린이집,127.1291451,37.5259831
준현유치원,127.1266259,37.53049305
성내초등학교,127.1224451,37.5314221
천동초등학교,127.137571,37.540569
송원유치원,127.1316972,37.5291432
예은어린이집,127.1336179,37.5408215
구립해나어린이집,127.1347874,37.55586966
고덕초등학교,127.1663766,37.5610786
강일초등학교,127.1771117,37.5649609
강일늘사랑유치원,127.1783206,37.56314695
개나리어린이집,127.1356972,37.5521359
예일어린이집,127.1339492,37.5229326
구립은강어린이집,127.1363923,37.5333784
길동초등학교,127.1435022,37.5380968
한양어린이집,127.1428147,37.5435458
반석유치원,127.1473249,37.5427659
반석어린이집,127.1473249,37.5427864
강동무지개어린이집,127.1406641,37.5445763
올리브나무어린이집,127.1459154,37.5478059
명덕초등학교,127.1460547,37.5568446
고일어린이집,127.1513067,37.55696418
둔촌초등학교,127.1375921,37.5260751
서울유치원,127.1279082,37.5521687
선사초등학교,127.1284369,37.5558399
한울유치원,127.1316795,37.55547042
근경보습학원,127.1273666,37.5431938
신암초등학교,127.1243645,37.5497646
애지어린이집,127.1415805,37.531761
강동복지관어린이집,127.1297892,37.5398986
선린초등학교,127.1460489,37.529447
구강사유치원,127.1288199,37.5448184
곡교어린이집,127.1278081,37.5434629
화랑유치원,127.1378446,37.5428867
라온어린이집,127.1393804,37.5431379
상일초등학교,127.1723531,37.5471517
예크유치원,127.1426993,37.5378116
성심어린이집,127.1445702,37.5361816
자이젠킨더어린이집,127.1478568,37.5377155
강일어린이집,127.1785799,37.5690817
한산초등학교,127.1413645,37.5283976
그린어린이집,127.1268502,37.5304122
둔촌유치원,127.1396925,37.531341
